name	authors	year	valid
Pachycondyla labandeirai	Dlussky & Rasnitsyn	2003	valid
Pachycondyla laevigata	Smith	1858	valid
Pachycondyla laevinodis	André	1902	invalid
Pachycondyla laevissima	Arnold	1915	valid
Pachycondyla laeviuscula	Gerstäcker	1859	invalid
Pachycondyla lamarki	Santschi	1913	invalid
Pachycondyla lamottei	Bernard	1953	invalid
Pachycondyla lamottei	Bernard	1953	valid
Pachycondyla lanceolata	Mayr	1895	invalid
Pachycondyla latinoda	MacKay & MacKay	2010	valid
Pachycondyla latreillei	Forel	1905	invalid
Pachycondyla lattkei	MacKay & MacKay	2010	valid
Pachycondyla leeuwenhoeki	Forel	1886	valid
Pachycondyla lenis	Kempf	1961	valid
Pachycondyla lenkoi	Kempf	1962	valid
Pachycondyla leveillei	Emery	1890	valid
Pachycondyla lineaticeps	Mayr	1866	valid
Pachycondyla lobata	De Geer	1773	invalid
Pachycondyla lobocarena	Xu	1995	valid
Pachycondyla longidentata	MacKay & MacKay	2010	valid
Pachycondyla lunaris	Emery	1896	valid
Pachycondyla lutea	Mayr	1862	valid
Pachycondyla luteipes	Mayr	1862	valid
Pachycondyla luteola	Roger	1861	valid
Pachycondyla lutzi	[no authors]	2012	valid
Pachycondyla lydiae	Santschi	1920	invalid
Pachycondyla magnifica	Borgmeier	1929	valid
Pachycondyla malayana	Wheeler	1929	valid
Pachycondyla manni	Viehmeyer	1924	valid
Pachycondyla marginata	Roger	1861	valid
Pachycondyla maternus	Forel	1900	invalid
Pachycondyla mayri	Emery	1887	valid
Pachycondyla melanaria	Emery	1893	valid
Pachycondyla melancholica	Smith	1865	valid
Pachycondyla mesonotalis	Santschi	1923	invalid
Pachycondyla mesoponeroides	Radchenko	1993	valid
Pachycondyla messeliana	[no authors]	2012	valid
Pachycondyla metanotalis	Luederwaldt	1918	valid
Pachycondyla minirubra	Özdikmen	2010	valid
Pachycondyla minuta	[no authors]	2012	valid
Pachycondyla minutansata	Zhang	1989	valid
Pachycondyla mirabilis	MacKay & MacKay	2010	valid
Pachycondyla mlanjiensis	Arnold	1946	valid
Pachycondyla mocquerysi	Emery	1902	valid
Pachycondyla modiglianii	Emery	1900	valid
Pachycondyla moesta	Mayr	1870	valid
Pachycondyla montezumia	Smith	1858	invalid
Pachycondyla myopa	Roger	1860	invalid
Pachycondyla myropola	Menozzi	1925	valid
Pachycondyla nakasujii	[no authors]	2010	valid
Pachycondyla neonimba	Özdikmen	2010	valid
Pachycondyla nigeriensis	Santschi	1914	invalid
Pachycondyla nigrita	Emery	1895	valid
Pachycondyla nimba	Bernard	1953	invalid
Pachycondyla nixoni	Donisthorpe	1943	invalid
Pachycondyla novemdentata	Bernard	1953	valid
Pachycondyla nubeculata	Zhang	1989	valid
Pachycondyla oberthueri	Emery	1890	valid
Pachycondyla obesa	Emery	1897	valid
Pachycondyla obscurans	Walker	1859	valid
Pachycondyla obscuricornis	Emery	1890	valid
Pachycondyla obtusa	Emery	1900	valid
Pachycondyla oculata	Smith	1858	valid
Pachycondyla orizabana	Norton	1868	invalid
Pachycondyla overbecki	Viehmeyer	1916	valid
Pachycondyla pachyderma	Emery	1901	valid
Pachycondyla pachynoda	Clark	1930	valid
Pachycondyla pallidipennis	Smith	1860	valid
Pachycondyla pallipes	Smith	1858	invalid
Pachycondyla papuana	Viehmeyer	1914	valid
Pachycondyla pedunculata	Smith	1858	invalid
Pachycondyla pergandei	Forel	1909	valid
Pachycondyla peringueyi	Emery	1899	valid
Pachycondyla perroti	Forel	1891	valid
Pachycondyla pestilentia	Smith	1858	invalid
Pachycondyla petiolosa	[no authors]	2012	valid
Pachycondyla petrosa	[no authors]	2012	valid
Pachycondyla picardi	Forel	1901	valid
Pachycondyla picea	Bernard	1953	valid
Pachycondyla pilidorsalis	Yamane	2007	valid
Pachycondyla piliventris	Smith	1858	valid
Pachycondyla pilosa	Smith	1858	invalid
Pachycondyla pilosior	Wheeler	1928	valid
Pachycondyla porcata	Emery	1897	valid
Pachycondyla procidua	Emery	1890	valid
Pachycondyla pulchella	Donisthorpe	1941	invalid
Pachycondyla pumicosa	Roger	1860	valid
Pachycondyla punctata	Karavaiev	1935	valid
Pachycondyla purpurascens	Forel	1899	valid
Pachycondyla quadridentata	Smith	1859	invalid
Pachycondyla recava	MacKay & MacKay	2010	valid
Pachycondyla robiginosa	Donisthorpe	1941	invalid
Pachycondyla rostrata	Emery	1890	valid
Pachycondyla rubescens	Santschi	1937	valid
Pachycondyla rubiginosa	Emery	1889	valid
Pachycondyla rubra	Smith	1857	valid
Pachycondyla ruficornis	Clark	1934	valid
Pachycondyla rufipes	Jerdon	1851	valid
Pachycondyla rufonigra	Clark	1934	valid
Pachycondyla rufotestaceus	Donisthorpe	1943	invalid
Pachycondyla rugosinodis	André	1902	invalid
Pachycondyla rugosula	Emery	1902	valid
Pachycondyla rupinicola	MacKay & MacKay	2010	valid
Pachycondyla sakishimensis	Terayama	1999	valid
Pachycondyla sandakana	Wheeler	1919	valid
Pachycondyla sanguinea	Santschi	1920	valid
Pachycondyla sauteri	Forel	1912	valid
Pachycondyla schoedli	MacKay & MacKay	2006	valid
Pachycondyla schultzi	MacKay & MacKay	2010	valid
Pachycondyla scobina	Wilson	1958	valid
Pachycondyla scolopax	Emery	1899	valid
Pachycondyla sculpturata	Karavaiev	1925	valid
Pachycondyla senegalensis	Santschi	1914	valid
Pachycondyla sennaarensis	Mayr	1862	valid
Pachycondyla sexdentatus	Donisthorpe	1949	invalid
Pachycondyla sharpi	Forel	1901	valid
Pachycondyla sheldoni	Mann	1919	valid
Pachycondyla sikorae	Forel	1891	valid
Pachycondyla silvestrii	Santschi	1914	valid
Pachycondyla simillima	Donisthorpe	1949	invalid
Pachycondyla simillima	Smith	1858	invalid
Pachycondyla sjostedti	Mayr	1896	valid
Pachycondyla socialis	MacLeay	1873	invalid
Pachycondyla solisi	MacKay & MacKay	2010	valid
Pachycondyla solitaria	Smith	1860	valid
Pachycondyla solitaria	Smith	1874	invalid
Pachycondyla sorghi	Roger	1863	invalid
Pachycondyla soror	Emery	1899	valid
Pachycondyla spiniventris	Smith	1858	invalid
Pachycondyla stigma	Fabricius	1804	valid
Pachycondyla stipitum	Forel	1901	invalid
Pachycondyla striata	Donisthorpe	1949	invalid
Pachycondyla striata	Karavaiev	1927	invalid
Pachycondyla striata	Smith	1858	valid
Pachycondyla striatinodis	Emery	1890	valid
Pachycondyla striatula	Karavaiev	1935	valid
Pachycondyla strigulosa	Emery	1895	valid
Pachycondyla striolata	Donisthorpe	1933	valid
Pachycondyla subiridescens	Wheeler	1922	valid
Pachycondyla sublaevis	Emery	1887	valid
Pachycondyla succedanea	Roger	1863	valid
Pachycondyla succinea	Mayr	1868	valid
Pachycondyla sulcata	Mayr	1867	valid
Pachycondyla sulcigera	Mayr	1904	invalid
Pachycondyla sumatrana	Özdikmen	2010	valid
Pachycondyla sundaicus	Mayr	1867	invalid
Pachycondyla suspecta	Santschi	1914	valid
Pachycondyla talpa	André	1890	valid
Pachycondyla tarsata	Fabricius	1798	valid
Pachycondyla terminalis	Özdikmen	2010	valid
Pachycondyla tesseronoda	Emery	1877	valid
Pachycondyla testacea	Bernard	1953	valid
Pachycondyla theresiae	Forel	1899	valid
Pachycondyla tianzun	Terayama	2009	valid
Pachycondyla tonkina	Santschi	1920	valid
Pachycondyla transversa	Emery	1890	invalid
Pachycondyla tridentata	Smith	1858	valid
Pachycondyla tristis	Dlussky	2009	valid
Pachycondyla unicolor	Smith	1860	valid
Pachycondyla unidentata	Mayr	1862	valid
Pachycondyla variolosa	Arnold	1947	valid
Pachycondyla venusta	Forel	1912	valid
Pachycondyla verecundae	Donisthorpe	1943	valid
Pachycondyla verenae	Forel	1922	valid
Pachycondyla vermiculata	Emery	1897	valid
Pachycondyla vidua	Smith	1857	valid
Pachycondyla viehmeyeri	Donisthorpe	1948	invalid
Pachycondyla vieirai	MacKay & MacKay	2010	valid
Pachycondyla villiersi	Bernard	1953	valid
Pachycondyla villosa	Fabricius	1804	valid
Pachycondyla wallacei	Yamane	2007	valid
Pachycondyla wasmannii	Forel	1887	valid
Pachycondyla weberi	Bernard	1953	valid
Pachycondyla williamsi	Wheeler & Chapman	1925	valid
Pachycondyla wroughtonii	Forel	1901	valid
Pachycondyla zhengi	Xu	1995	valid
Pachycondyla zumpti	Santschi	1937	valid
Pachycondyla zuparkoi	MacKay & MacKay	2010	valid
Papyrius flavus	Mayr	1865	valid
Papyrius nitidus	Mayr	1862	valid
Papyrius tuberculatus	Lowne	1865	invalid
Parameranoplus primaevus	Wheeler	1915	valid
Paramycetophylax bruchi	Santschi	1916	valid
Paramycetophylax cristulata	Santschi	1922	invalid
Paraneuretus longicornis	Wheeler	1915	valid
Paraneuretus tornquisti	Wheeler	1915	valid
Paraparatrechina albipes	Emery	1899	valid
Paraparatrechina atomus	Forel	1901	invalid
Paraparatrechina bayonii	Menozzi	1924	invalid
Paraparatrechina brunnella	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina bucculentus	Wheeler	1922	invalid
Paraparatrechina bufona	Wheeler	1922	valid
Paraparatrechina butteli	Forel	1913	valid
Paraparatrechina caledonica	Forel	1902	valid
Paraparatrechina concinnata	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina dichroa	Karavaiev	1933	valid
Paraparatrechina emarginata	Forel	1913	valid
Paraparatrechina foreli	Emery	1914	valid
Paraparatrechina glabra	Forel	1891	valid
Paraparatrechina gnoma	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina gowdeyi	Wheeler	1922	invalid
Paraparatrechina iridescens	Donisthorpe	1942	valid
Paraparatrechina kongming	Terayama	2009	valid
Paraparatrechina koningsbergeri	Karavaiev	1933	valid
Paraparatrechina lecamopteridis	Donisthorpe	1941	valid
Paraparatrechina minutula	Forel	1901	valid
Paraparatrechina myersi	Weber	1943	invalid
Paraparatrechina myops	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina nana	Santschi	1928	valid
Paraparatrechina nettae	Forel	1911	valid
Paraparatrechina oceanica	Mann	1921	valid
Paraparatrechina ocellatula	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina opaca	Emery	1887	valid
Paraparatrechina oreias	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina pallida	Donisthorpe	1947	valid
Paraparatrechina pusillima	Emery	1922	valid
Paraparatrechina sauteri	Forel	1913	valid
Paraparatrechina splendida	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina subtilis	Santschi	1920	valid
Paraparatrechina tapinomoides	Forel	1905	valid
Paraparatrechina umbranatis	LaPolla, Cheng & Fisher	2010	valid
Paraparatrechina weissi	Santschi	1910	valid
Paraphaenogaster microphthalma	Dlussky	1981	valid
Paraponera aculeata	Olivier	1792	invalid
Paraponera clavata	Fabricius	1775	valid
Paraponera dieteri	Baroni Urbani	1994	valid
Paraponera tarsalis	Perty	1833	invalid
Paraprionopelta minima	Kusnezov	1955	valid
Paratopula andamanensis	Forel	1903	valid
Paratopula ankistra	Bolton	1988	valid
Paratopula catocha	Bolton	1988	valid
Paratopula ceylonica	Emery	1901	valid
Paratopula demeta	Bolton	1988	valid
Paratopula intermedia	Sheela & Narendran	1998	valid
Paratopula longispina	Stitz	1938	valid
Paratopula macta	Bolton	1988	valid
Paratopula oculata	Smith	1857	valid
Paratopula srilankensis	Cheng, Ye & Yang	1992	valid
Paratopula sumatrensis	Forel	1913	valid
Paratopula taylori	Forel	1902	invalid
Paratopula zhengi	[no authors]	2011	valid
Paratrechina currens	[no authors]	1863	invalid
Paratrechina gracilescens	Nylander	1856	invalid
Paratrechina hagemanni	Forel	1901	invalid
Paratrechina longicornis	Latreille	1802	valid
Paratrechina vagans	Jerdon	1851	valid
Perissomyrmex bidentatus	[no authors]	2006	valid
Perissomyrmex emarginatus	Ogata & Okido	2007	invalid
Perissomyrmex fissus	Xu & Wang	2004	valid
Perissomyrmex guizhouensis	[no authors]	2006	valid
Perissomyrmex medogensis	[no authors]	2012	valid
Perissomyrmex monticola	Baroni Urbani & De Andrade	1993	valid
Perissomyrmex nepalensis	Radchenko	2003	invalid
Perissomyrmex snyderi	Smith	1947	valid
Peronomyrmex bartoni	Shattuck & Hinkley	2002	valid
Peronomyrmex greavesi	Shattuck	2006	valid
Peronomyrmex overbecki	Viehmeyer	1922	valid
Petalomyrmex phylax	Snelling	1979	valid
Petraeomyrmex minimus	Carpenter	1930	valid
Petropone petiolata	Dlussky	1975	valid
Phalacromyrmex fugax	Kempf	1960	valid
Phasmomyrmex aberrans	Mayr	1895	valid
Phasmomyrmex buchneri	Forel	1886	valid
Phasmomyrmex paradoxus	André	1892	valid
Phasmomyrmex polyrhachioides	Emery	1898	invalid
Phasmomyrmex sericeus	Stitz	1910	invalid
Phasmomyrmex wolfi	Emery	1920	valid
Phaulomyrma javana	Wheeler & Wheeler	1930	valid
Pheidole aana	Wilson & Taylor	1967	valid
Pheidole aberrans	Mayr	1868	valid
Pheidole absurda	Forel	1886	valid
Pheidole acamata	Wilson	2003	valid
Pheidole acantha	Eguchi	2001	valid
Pheidole accinota	Wheeler	1925	valid
Pheidole aciculata	Wilson	2003	valid
Pheidole aculifera	Wilson	2003	valid
Pheidole acutidens	Santschi	1922	valid
Pheidole ademonia	Wilson	2003	valid
Pheidole adrianoi	Naves	1985	valid
Pheidole aeberlii	Forel	1894	valid
Pheidole aenescens	Wilson	2003	valid
Pheidole aequiseta	Santschi	1923	valid
Pheidole agilis	Smith	1857	invalid
Pheidole aglae	Forel	1913	valid
Pheidole agricola	Wilson	2003	valid
Pheidole ajax	Forel	1899	valid
Pheidole akermani	Arnold	1920	valid
Pheidole alacris	Santschi	1923	valid
Pheidole alayoi	Wilson	2003	valid
Pheidole albidula	Santschi	1928	valid
Pheidole albipes	Wilson	2003	valid
Pheidole alexeter	Wilson	2003	valid
Pheidole alfaroi	Emery	1896	valid
Pheidole alienata	Borgmeier	1929	valid
Pheidole allani	Bingham	1903	valid
Pheidole allarmata	Wilson	2003	valid
Pheidole alpestris	Wilson	2003	valid
Pheidole alpinensis	Forel	1912	valid
Pheidole alticola	Wilson	2003	valid
Pheidole amabilis	Wilson	2003	valid
Pheidole amata	Forel	1901	valid
Pheidole amazonica	Wilson	2003	valid
Pheidole amber	Donisthorpe	1941	valid
Pheidole ambigua	Wilson	2003	valid
Pheidole ambonensis	Karavaiev	1930	valid
Pheidole amia	Forel	1912	invalid
Pheidole ampla	Forel	1893	valid
Pheidole amplificata	Viehmeyer	1914	valid
Pheidole anastasii	Emery	1896	valid
Pheidole andrieui	Santschi	1930	valid
Pheidole androsana	Wheeler	1905	valid
Pheidole angulicollis	Eguchi	2001	valid
Pheidole angulifera	Wilson	2003	valid
Pheidole angusta	Forel	1908	valid
Pheidole angusticeps	Wilson	2003	valid
Pheidole anima	Wilson	2003	valid
Pheidole annemariae	Forel	1918	valid
Pheidole annexa	Eguchi	2001	valid
Pheidole anthracina	Forel	1902	valid
Pheidole antillana	Forel	1893	valid
Pheidole aper	Forel	1912	valid
Pheidole aphrasta	Zhou & Zheng	1999	valid
Pheidole arachnion	Wilson	2003	valid
Pheidole araneoides	Wilson	2003	valid
Pheidole arboricola	Wilson	2003	valid
Pheidole arcifera	Santschi	1925	valid
Pheidole arciruga	Forel	1908	invalid
Pheidole arctos	Wilson	2003	valid
Pheidole arenarum	Ruzsky	1905	invalid
Pheidole arenicola	Forel	1910	invalid
Pheidole areniphila	Forel	1910	valid
Pheidole argentina	Bruch	1932	valid
Pheidole arhuaca	Forel	1901	valid
Pheidole ariel	Wilson	2003	valid
Pheidole arietans	Wilson	2003	invalid
Pheidole aripoensis	Wilson	2003	valid
Pheidole aristotelis	Forel	1911	valid
Pheidole arizonica	Santschi	1911	invalid
Pheidole armatus	Smith	1865	invalid
Pheidole arnoldi	Forel	1913	valid
Pheidole aspera	Mayr	1862	valid
Pheidole asperata	Emery	1895	valid
Pheidole asperithorax	Emery	1894	valid
Pheidole aspidata	Eguchi & Bui	2005	valid
Pheidole astur	Wilson	2003	valid
Pheidole athertonensis	Forel	1915	valid
Pheidole atticola	Forel	1912	valid
Pheidole attila	Forel	1913	invalid
Pheidole atua	Wilson & Taylor	1967	valid
Pheidole aurea	Wilson	2003	valid
Pheidole aurivillii	Mayr	1896	valid
Pheidole auropilosa	Mayr	1887	valid
Pheidole australis	Emery	1890	invalid
Pheidole avia	Forel	1908	valid
Pheidole azteca	Wilson	2003	valid
Pheidole bahai	Forel	1922	valid
Pheidole bajaensis	Wilson	2003	valid
Pheidole bakeri	Forel	1912	valid
Pheidole balzani	Emery	1894	valid
Pheidole bambusarum	Forel	1908	valid
Pheidole bandata	Bharti	2004	valid
Pheidole barbata	Wheeler	1908	valid
Pheidole barreleti	Forel	1903	valid
Pheidole barumtaun	Donisthorpe	1938	valid
Pheidole batrachorum	Wheeler	1922	valid
Pheidole beauforti	Emery	1911	valid
Pheidole bellatrix	Wilson	2003	valid
Pheidole belli	Mann	1919	valid
Pheidole beloceps	Wilson	2003	valid
Pheidole bequaerti	Forel	1913	valid
Pheidole bergi	Mayr	1887	valid
Pheidole bessonii	Forel	1891	valid
Pheidole bhavanae	Bingham	1903	invalid
Pheidole bicarinata	Mayr	1870	valid
Pheidole bicolor	Emery	1890	invalid
Pheidole biconstricta	Mayr	1870	valid
Pheidole bicornis	Forel	1899	valid
Pheidole bidens	Wilson	2003	valid
Pheidole bifurca	Donisthorpe	1941	valid
Pheidole bigote	Longino	2009	valid
Pheidole bilimeki	Mayr	1870	valid
Pheidole biloba	Karavaiev	1935	valid
Pheidole binasifera	Wilson	2003	valid
Pheidole binghamii	Forel	1902	valid
Pheidole biolleyi	Forel	1908	valid
Pheidole bison	Wilson	2003	valid
Pheidole blumenauensis	Kempf	1964	valid
Pheidole bluntschlii	Forel	1911	valid
Pheidole boliviana	Wilson	2003	valid
Pheidole boltoni	Wilson	2003	valid
Pheidole borgmeieri	Kempf	1972	valid
Pheidole boruca	Wilson	2003	valid
Pheidole bos	Forel	1893	valid
Pheidole brachyops	Wilson	2003	valid
Pheidole brandaoi	Wilson	2003	valid
Pheidole branstetteri	Longino	2009	valid
Pheidole braueri	Forel	1897	valid
Pheidole brevicona	Mayr	1887	valid
Pheidole brevicornis	Mayr	1876	valid
Pheidole breviscapa	Forel	1899	invalid
Pheidole breviseta	Santschi	1919	valid
Pheidole browni	Wilson	2003	valid
Pheidole bruchella	Forel	1915	valid
Pheidole bruchi	Forel	1914	valid
Pheidole bruesi	Wheeler	1911	valid
Pheidole brunnescens	Santschi	1929	valid
Pheidole bucculenta	Forel	1908	valid
Pheidole buchholzi	Mayr	1901	valid
Pheidole buckleyi	Smith	1951	valid
Pheidole bucolica	Santschi	1929	invalid
Pheidole bufo	Wilson	2003	valid
Pheidole bugi	Wheeler	1919	invalid
Pheidole bula	Sarnat	2008	valid
Pheidole bulliceps	Wilson	2003	valid
Pheidole bureni	Wilson	2003	valid
Pheidole butteli	Forel	1913	valid
Pheidole caffra	Emery	1895	valid
Pheidole cairnsiana	Forel	1902	valid
Pheidole caldwelli	Mann	1921	valid
Pheidole calens	Forel	1901	valid
Pheidole californica	Mayr	1870	valid
Pheidole calimana	Wilson	2003	valid
Pheidole caltrop	Wilson	2003	valid
Pheidole cameroni	Mayr	1887	valid
Pheidole camilla	Wilson	2003	valid
Pheidole camptostela	Kempf	1972	valid
Pheidole capellinii	Emery	1887	valid
Pheidole capensis	Mayr	1862	valid
Pheidole capillata	Emery	1906	valid
Pheidole caracalla	Wilson	2003	valid
Pheidole carapuna	Mann	1916	valid
Pheidole carapunco	Kusnezov	1952	valid
Pheidole carbonaria	Pergande	1896	invalid
Pheidole cardiella	Wilson	2003	valid
Pheidole cardinalis	Wilson	2003	valid
Pheidole caribbaea	Wheeler	1911	valid
Pheidole carinata	Wilson	2003	valid
Pheidole cariniceps	Eguchi	2001	valid
Pheidole carinote	Longino	2009	valid
Pheidole carrolli	Naves	1985	valid
Pheidole casta	Wheeler	1908	valid
Pheidole castanea	Smith	1858	valid
Pheidole cataphracta	Wilson	2003	valid
Pheidole cataractae	Wheeler	1916	valid
Pheidole caulicola	Wilson	2003	valid
Pheidole cavannae	Emery	1887	invalid
Pheidole cavifrons	Emery	1906	valid
Pheidole cavigenis	Wheeler	1915	valid
Pheidole ceibana	Wilson	2003	valid
Pheidole celaena	Wilson	2003	valid
Pheidole centeotl	Wheeler	1914	valid
Pheidole cephalica	Smith	1858	invalid
Pheidole cerebrosior	Wheeler	1915	valid
Pheidole ceres	Wheeler	1904	valid
Pheidole cerina	Wilson	2003	valid
Pheidole cervicornis	Emery	1900	valid
Pheidole ceylonica	[no authors]	1863	valid
Pheidole chalca	Wheeler	1914	valid
Pheidole chalcoides	Wilson	2003	valid
Pheidole championi	Forel	1899	invalid
Pheidole charazana	Wilson	2003	valid
Pheidole cheesmanae	Donisthorpe	1941	valid
Pheidole cheesmannae	Donisthorpe	1941	valid
Pheidole chiapasana	Wilson	2003	invalid
Pheidole chilensis	Mayr	1862	valid
Pheidole chloe	Forel	1908	valid
Pheidole chocoensis	Wilson	2003	valid
Pheidole christinae	[no authors]	2012	valid
Pheidole christopherseni	Forel	1912	valid
Pheidole chrysops	Wilson	2003	valid
Pheidole cielana	Wilson	2003	valid
Pheidole cingulata	Smith	1857	valid
Pheidole citrina	Wilson	2003	valid
Pheidole clavata	Emery	1877	valid
Pheidole claviscapa	Santschi	1925	valid
Pheidole clementensis	Gregg	1969	valid
Pheidole clydei	Gregg	1950	valid
Pheidole clypeocornis	Eguchi	2001	valid
Pheidole cocciphaga	Borgmeier	1934	valid
Pheidole cockerelli	Wheeler	1908	valid
Pheidole coffeicola	Borgmeier	1934	valid
Pheidole colaensis	Mann	1921	valid
Pheidole colobopsis	Mann	1916	valid
Pheidole colpigaleata	Eguchi	2006	valid
Pheidole columbica	Forel	1886	invalid
Pheidole comata	Smith	1858	valid
Pheidole commutata	Mayr	1886	invalid
Pheidole concentrica	Forel	1902	valid
Pheidole concinna	Santschi	1910	valid
Pheidole concinna	Wheeler	1928	invalid
Pheidole conficta	Forel	1902	valid
Pheidole confoedusta	Wheeler	1909	valid
Pheidole constanciae	Forel	1902	valid
Pheidole constipata	Wheeler	1908	valid
Pheidole coonoorensis	Forel	1902	valid
Pheidole coracina	Wilson	2003	valid
Pheidole cordata	Holl	1829	valid
Pheidole cordiceps	Mayr	1868	valid
Pheidole cornicula	Wilson	2003	valid
Pheidole cornutula	Emery	1890	invalid
Pheidole corticicola	Santschi	1910	valid
Pheidole coveri	Wilson	2003	valid
Pheidole cramptoni	Wheeler	1916	valid
Pheidole crassicornis	Emery	1895	valid
Pheidole crassinoda	Emery	1895	valid
Pheidole crassipes	Mayr	1887	invalid
Pheidole creightoni	Gregg	1955	valid
Pheidole cressoni	André	1887	invalid
Pheidole crinita	Wilson	2003	valid
Pheidole crozieri	Wilson	2003	valid
Pheidole cryptocera	Emery	1900	valid
Pheidole cubaensis	Mayr	1862	valid
Pheidole cuevasi	Wilson	2003	valid
Pheidole cuitensis	Forel	1910	valid
Pheidole cuprina	Wilson	2003	valid
Pheidole cursor	Wilson	2003	valid
Pheidole cyrtostela	Wilson	2003	valid
Pheidole dammermani	Wheeler	1924	valid
Pheidole daphne	Wilson	2003	valid
Pheidole darlingtoni	Wheeler	1936	valid
Pheidole darwini	[no authors]	2012	valid
Pheidole dasypyx	Wilson	2003	valid
Pheidole davidsonae	Wilson	2003	valid
Pheidole davisi	Wheeler	1905	valid
Pheidole dea	Santschi	1921	valid
Pheidole debilis	Longino	2009	valid
Pheidole decarinata	Santschi	1929	valid
Pheidole decem	Forel	1901	invalid
Pheidole deceptrix	Forel	1899	valid
Pheidole defecta	Santschi	1923	valid
Pheidole deima	Wilson	2003	valid
Pheidole delecta	Forel	1899	valid
Pheidole delicata	Wilson	2003	valid
Pheidole deltea	Eguchi	2001	valid
Pheidole demeter	Wilson	2003	valid
Pheidole dentata	Mayr	1886	valid
Pheidole dentigula	Smith	1927	valid
Pheidole descolei	Kusnezov	1952	valid
Pheidole deserticola	Forel	1910	valid
Pheidole desertorum	Wheeler	1906	valid
Pheidole diabolus	Wilson	2003	valid
Pheidole diana	Forel	1908	valid
Pheidole diffidens	Walker	1859	valid
Pheidole diffusa	Jerdon	1851	valid
Pheidole diligens	Santschi	1923	invalid
Pheidole diligens	Smith	1858	valid
Pheidole dimidiata	Emery	1894	invalid
Pheidole dinophila	Wilson	2003	valid
Pheidole dione	Forel	1913	valid
Pheidole distincta	Donisthorpe	1943	valid
Pheidole distorta	Forel	1899	valid
Pheidole divergens	Mayr	1867	invalid
Pheidole diversa	Smith	1860	invalid
Pheidole diversipilosa	Wheeler	1908	valid
Pheidole dolichocephala	André	1896	invalid
Pheidole dolon	Wilson	2003	valid
Pheidole dorsata	Wilson	2003	valid
Pheidole dossena	Wilson	2003	valid
Pheidole drepanon	Wilson	2003	valid
Pheidole dryas	Wilson	2003	valid
Pheidole dugasi	Forel	1911	valid
Pheidole dumicola	Wilson	2003	valid
Pheidole duneraensis	Bharti	2001	valid
Pheidole durionei	Santschi	1923	valid
Pheidole dwyeri	Gregg	1969	valid
Pheidole dyctiota	Kempf	1972	valid
Pheidole ebenina	Wilson	2003	invalid
Pheidole ectatommoides	Wilson	2003	valid
Pheidole ecuadorana	Wilson	2003	valid
Pheidole edax	Forskål	1775	invalid
Pheidole eidmanni	Menozzi	1926	valid
Pheidole elecebra	Wheeler	1904	valid
Pheidole elegans	Donisthorpe	1938	valid
Pheidole elisae	Emery	1900	valid
Pheidole elongicephala	Eguchi	2008	valid
Pheidole embolopyx	[no authors]	1968	valid
Pheidole emersoni	Wheeler	1922	invalid
Pheidole emeryi	Mayr	1887	invalid
Pheidole emmae	Forel	1905	valid
Pheidole ensifera	Forel	1897	valid
Pheidole eowilsoni	Longino	2009	valid
Pheidole eparmata	Wilson	2003	valid
Pheidole epetrion	Wilson	2003	valid
Pheidole epiphyta	Longino	2009	valid
Pheidole erato	Mann	1919	valid
Pheidole erethizon	Wilson	2003	valid
Pheidole eriophora	Wilson	2003	valid
Pheidole ernsti	Forel	1912	valid
Pheidole erratilis	Wilson	2003	valid
Pheidole escherichii	Forel	1910	valid
Pheidole euryscopa	Wilson	2003	valid
Pheidole exarata	Emery	1896	valid
Pheidole exasperata	Mayr	1866	valid
Pheidole excellens	Mayr	1862	valid
Pheidole excubitor	Wilson	2003	valid
Pheidole exigua	Mayr	1884	valid
Pheidole exquisita	Wilson	2003	valid
Pheidole fabricator	Smith	1858	valid
Pheidole fadli	[no authors]	2007	valid
Pheidole fallax	Mayr	1870	valid
Pheidole fantasia	Chapman	1963	valid
Pheidole fariasana	Wilson	2003	invalid
Pheidole fatigata	Bolton	1995	valid
Pheidole feae	Emery	1895	valid
Pheidole fera	Santschi	1925	valid
Pheidole fergusoni	Forel	1902	valid
Pheidole fervens	Smith	1858	valid
Pheidole fervida	Smith	1874	valid
Pheidole fimbriata	Roger	1863	valid
Pheidole fiorii	Emery	1890	valid
Pheidole fissiceps	Wilson	2003	valid
Pheidole flavens	Roger	1863	valid
Pheidole flaveria	Zhou & Zheng	1999	valid
Pheidole flavida	Mayr	1887	valid
Pheidole flavifrons	Wilson	2003	valid
Pheidole flavothoracica	Viehmeyer	1914	valid
Pheidole floricola	Wilson	2003	valid
Pheidole floridana	Emery	1895	valid
Pheidole foreli	Mayr	1901	valid
Pheidole fortis	Eguchi	2006	valid
Pheidole fossimandibula	Longino	2009	valid
Pheidole foveolata	Eguchi	2006	valid
Pheidole fowleri	Wilson	2003	valid
Pheidole fracticeps	Wilson	2003	valid
Pheidole fullerae	Wilson	2003	valid
Pheidole fumipennis	Smith	1858	invalid
