name	authors	year	valid
Adetomyrma caputleae	Yoshimura & Fisher	2012	valid
Adetomyrma cassis	Yoshimura & Fisher	2012	valid
Adetomyrma caudapinnigera	Yoshimura & Fisher	2012	valid
Adetomyrma cilium	Yoshimura & Fisher	2012	valid
Adetomyrma clarivida	Yoshimura & Fisher	2012	valid
Adetomyrma goblin	Yoshimura & Fisher	2012	valid
Adetomyrma venatrix	Ward	1994	valid
Adlerzia froggatti	Forel	1902	valid
Adlerzia katerinae	McAreavey	1949	invalid
Adlerzia silvestrii	Emery	1914	invalid
Aenictogiton attenuatus	Santschi	1919	valid
Aenictogiton bequaerti	Forel	1913	valid
Aenictogiton elongatus	Santschi	1919	valid
Aenictogiton emeryi	Forel	1913	valid
Aenictogiton fossiceps	Emery	1901	valid
Aenictogiton schoutedeni	Santschi	1924	valid
Aenictogiton sulcatus	Santschi	1919	valid
Aenictus abeillei	André	1886	valid
Aenictus acerbus	Shattuck	2008	valid
Aenictus aitkenii	Forel	1901	valid
Aenictus alluaudi	Santschi	1910	valid
Aenictus alticola	Wheeler	1930	valid
Aenictus ambiguus	Shuckard	1840	valid
Aenictus anceps	Forel	1910	valid
Aenictus annae	Forel	1911	valid
Aenictus arabicus	[no authors]	2012	valid
Aenictus aratus	Forel	1900	valid
Aenictus artipus	Wilson	1964	valid
Aenictus arya	Forel	1901	valid
Aenictus asantei	[no authors]	1983	valid
Aenictus asperivalvus	Santschi	1919	valid
Aenictus bakeri	Menozzi	1925	valid
Aenictus batesi	Forel	1911	invalid
Aenictus bayoni	Menozzi	1933	valid
Aenictus bengalensis	Mayr	1879	invalid
Aenictus bidentatus	Donisthorpe	1942	invalid
Aenictus binghami	Forel	1900	valid
Aenictus biroi	Forel	1907	valid
Aenictus bobaiensis	Zhou & Chen	1999	valid
Aenictus bodongjaya	Jaitrong & Yamane	2011	valid
Aenictus bottegoi	Emery	1899	valid
Aenictus brazzai	Santschi	1910	valid
Aenictus breviceps	Forel	1912	valid
Aenictus brevicornis	Mayr	1879	valid
Aenictus brevinodus	Jaitrong & Yamane	2011	valid
Aenictus buttelreepeni	Forel	1913	valid
Aenictus buttgenbachi	Forel	1913	valid
Aenictus camposi	Wheeler & Chapman	1925	valid
Aenictus carolianus	Zettel & Sorger	2010	valid
Aenictus certus	Westwood	1842	valid
Aenictus ceylonicus	Mayr	1866	valid
Aenictus changmaianus	Terayama & Kubota	1993	valid
Aenictus chapmani	Wilson	1964	valid
Aenictus clavatus	Forel	1901	valid
Aenictus clavitibia	Forel	1901	valid
Aenictus congolensis	Santschi	1911	valid
Aenictus cornutus	Forel	1900	valid
Aenictus crucifer	Santschi	1914	valid
Aenictus currax	Emery	1900	valid
Aenictus decolor	Mayr	1879	valid
Aenictus dentatus	Forel	1911	valid
Aenictus deuqueti	Crawley	1923	invalid
Aenictus diclops	Shattuck	2008	valid
Aenictus dlusskyi	Arnol'di	1968	valid
Aenictus doryloides	Wilson	1964	valid
Aenictus doydeei	[no authors]	2011	valid
Aenictus duengkaei	Jaitrong & Yamane	2012	valid
Aenictus eugenii	Emery	1895	valid
Aenictus exiguus	Clark	1934	invalid
Aenictus exilis	Wilson	1964	valid
Aenictus feae	Emery	1889	valid
Aenictus fergusoni	Forel	1901	valid
Aenictus foreli	Santschi	1919	valid
Aenictus fuchuanensis	Zhou	2001	valid
Aenictus fulvus	Jaitrong & Yamane	2011	valid
Aenictus furculatus	Santschi	1919	valid
Aenictus furibundus	Arnold	1959	valid
Aenictus fuscipennis	Forel	1913	valid
Aenictus fuscovarius	Gerstäcker	1859	valid
Aenictus gibbosus	[no authors]	1893	valid
Aenictus glabratus	Jaitrong & Nur-Zati	2010	valid
Aenictus glabrinotum	Jaitrong & Yamane	2011	valid
Aenictus gleadowii	Forel	1901	valid
Aenictus gracilis	Emery	1893	valid
Aenictus grandis	Bingham	1903	valid
Aenictus greeni	Bingham	1903	invalid
Aenictus hamifer	Emery	1896	valid
Aenictus henanensis	[no authors]	2005	valid
Aenictus hilli	Clark	1928	valid
Aenictus hodgsoni	Forel	1901	valid
Aenictus hottai	Terayama & Yamane	1989	valid
Aenictus humeralis	Santschi	1910	valid
Aenictus huonicus	Wilson	1964	valid
Aenictus icarus	Forel	1911	valid
Aenictus idoneus	Menozzi	1928	valid
Aenictus inconspicuus	Westwood	1845	valid
Aenictus indicus	[no authors]	2012	valid
Aenictus inflatus	Yamane & Hashimoto	1999	valid
Aenictus jacobsoni	Forel	1909	valid
Aenictus jarujini	Jaitrong & Yamane	2010	valid
Aenictus javanus	[no authors]	1896	valid
Aenictus laeviceps	Smith	1857	valid
Aenictus latifemoratus	Terayama & Yamane	1989	valid
Aenictus latiscapus	Forel	1901	valid
Aenictus leliepvrei	Bernard	1953	valid
Aenictus leptotyphlatta	Jaitrong & Eguchi	2010	valid
Aenictus levior	Karavaiev	1926	valid
Aenictus lifuiae	Terayama	1984	valid
Aenictus longi	Forel	1901	valid
Aenictus longinodus	Jaitrong & Yamane	2012	valid
Aenictus luteus	Emery	1892	valid
Aenictus luzoni	Wheeler & Chapman	1925	valid
Aenictus mariae	Emery	1895	valid
Aenictus martini	Forel	1901	invalid
Aenictus mauritanicus	Santschi	1910	valid
Aenictus mentu	Weber	1942	valid
Aenictus minimus	[no authors]	2012	valid
Aenictus minutulus	Terayama & Yamane	1989	valid
Aenictus mocsaryi	Emery	1901	valid
Aenictus moebii	Emery	1895	valid
Aenictus montivagus	Jaitrong & Yamane	2011	valid
Aenictus mutatus	Santschi	1913	valid
Aenictus nesiotis	Wheeler	1930	valid
Aenictus nganduensis	Wilson	1964	valid
Aenictus nishimurai	Terayama & Kubota	1993	valid
Aenictus obscurus	Smith	1865	valid
Aenictus orientalis	Karavaiev	1926	valid
Aenictus pachycerus	Smith	1858	valid
Aenictus pangantihoni	Zettel & Sorger	2010	valid
Aenictus papuanus	Donisthorpe	1941	invalid
Aenictus paradentatus	Jaitrong, Yamane & Tasen	2012	valid
Aenictus parahuonicus	Jaitrong & Yamane	2011	valid
Aenictus peguensis	Emery	1895	valid
Aenictus pfeifferi	Zettel & Sorger	2010	valid
Aenictus pharoa	Santschi	1924	valid
Aenictus philiporum	Wilson	1964	valid
Aenictus philippinensis	Chapman	1963	valid
Aenictus piercei	Wheeler	1930	valid
Aenictus porizonoides	Walker	1860	valid
Aenictus powersi	Wheeler	1930	valid
Aenictus prolixus	Shattuck	2008	valid
Aenictus pubescens	Smith	1859	valid
Aenictus punctatus	Jaitrong & Yamane	2012	valid
Aenictus punctiventris	Emery	1901	valid
Aenictus punensis	Forel	1901	valid
Aenictus rabori	Chapman	1963	valid
Aenictus raptor	Forel	1913	valid
Aenictus reyesi	Chapman	1963	valid
Aenictus rhodiensis	Menozzi	1936	valid
Aenictus rixator	Emery	1901	valid
Aenictus rotundatus	Mayr	1901	valid
Aenictus rotundicollis	Jaitrong & Yamane	2011	valid
Aenictus rougieri	André	1893	valid
Aenictus sagei	Forel	1901	valid
Aenictus schneirlai	Wilson	1964	valid
Aenictus shillongensis	Mathew & Tiwari	2000	valid
Aenictus shuckardi	Forel	1901	valid
Aenictus siamensis	Jaitrong & Yamane	2011	valid
Aenictus silvestrii	Wheeler	1929	valid
Aenictus similis	Donisthorpe	1948	invalid
Aenictus sonchaengi	Jaitrong & Yamane	2011	valid
Aenictus soudanicus	Santschi	1910	valid
Aenictus spathifer	Santschi	1928	valid
Aenictus steindachneri	Mayr	1901	valid
Aenictus stenocephalus	[no authors]	2010	valid
Aenictus subterraneus	[no authors]	2012	valid
Aenictus sumatrensis	Forel	1913	valid
Aenictus thailandianus	Terayama & Kubota	1993	valid
Aenictus togoensis	Santschi	1915	valid
Aenictus trigonus	Forel	1911	valid
Aenictus turneri	Forel	1900	valid
Aenictus vagans	Santschi	1924	valid
Aenictus vaucheri	Emery	1915	valid
Aenictus vieti	[no authors]	2010	valid
Aenictus villiersi	Bernard	1953	valid
Aenictus wayani	Jaitrong & Yamane	2011	valid
Aenictus weissi	Santschi	1910	valid
Aenictus westwoodi	Forel	1901	valid
Aenictus wilsoni	[no authors]	2012	valid
Aenictus wroughtonii	Forel	1890	valid
Aenictus wudangshanensis	Wang	2006	valid
Aenictus yamanei	Wiwatwitaya & Jaitrong	2011	valid
Aenictus zhengi	Zhang	1995	valid
Afromyrma petrosa	Dlussky, Brothers & Rasnitsyn	2004	valid
Afropone oculata	Dlussky, Brothers & Rasnitsyn	2004	valid
Afropone orapa	Dlussky, Brothers & Rasnitsyn	2004	valid
Agraulomyrmex meridionalis	Prins	1983	valid
Agraulomyrmex wilsoni	Prins	1983	valid
Agroecomyrmex duisburgi	Mayr	1868	valid
Alloformica aberrans	Mayr	1877	valid
Alloformica flavicornis	Kuznetsov-Ugamsky	1926	valid
Alloformica nitidior	Forel	1904	valid
Alloformica obscurior	Dlussky, Soyunov & Zabelin	1990	valid
Alloiomma changweiensis	Zhang	1989	valid
Alloiomma differentialis	Zhang, Sun & Zhang	1994	valid
Allomerus brevipilosus	Fernández	2007	valid
Allomerus decemarticulatus	Mayr	1878	valid
Allomerus dentatus	Fernández	2007	valid
Allomerus maietae	Fernández	2007	valid
Allomerus octoarticulatus	Mayr	1878	valid
Allomerus septemarticulatus	Mayr	1878	valid
Allomerus undecemarticulatus	Fernández	2007	valid
Allomerus vogeli	Kempf	1975	valid
Amblyopone aberrans	Wheeler	1927	valid
Amblyopone australis	Erichson	1842	valid
Amblyopone cephalotes	Smith	1876	invalid
Amblyopone clarki	Wheeler	1927	valid
Amblyopone hackeri	Wheeler	1927	valid
Amblyopone laevidens	Emery	1887	invalid
Amblyopone leae	Wheeler	1927	valid
Amblyopone longidens	Forel	1910	valid
Amblyopone mercovichi	[no authors]	1960	valid
Amblyopone michaelseni	Forel	1907	valid
Amblyopone minor	Forel	1915	invalid
Amblyopone nana	Emery	1914	invalid
Amblyopone obscura	Smith	1858	invalid
Amyrmex golbachi	Kusnezov	1953	valid
Ancyridris polyrhachioides	Wheeler	1935	valid
Ancyridris rupicapra	Stitz	1938	valid
Anergates atratulus	Schenck	1852	valid
Anergates friedlandi	Creighton	1934	invalid
Aneuretellus deformis	Dlussky	1988	valid
Aneuretus butteli	Forel	1912	invalid
Aneuretus simoni	Emery	1893	valid
Anillidris bruchi	Santschi	1936	valid
Anillomyrma decamera	Emery	1901	valid
Anillomyrma tridens	Bolton	1987	valid
Anisopheidole antipodum	Smith	1858	valid
Anisopheidole froggatti	Forel	1902	invalid
Anisopheidole lippulum	Wheeler	1927	invalid
Anisopheidole myops	Forel	1902	invalid
Ankylomyrma coronacantha	Bolton	1973	valid
Anochetus africanus	Mayr	1865	valid
Anochetus agilis	Emery	1901	valid
Anochetus alae	[no authors]	2012	valid
Anochetus altisquamis	Mayr	1887	valid
Anochetus amati	Karavaiev	1925	invalid
Anochetus ambiguus	De Andrade	1994	valid
Anochetus angolensis	[no authors]	1978	valid
Anochetus angusticornis	Arnold	1946	invalid
Anochetus armstrongi	McAreavey	1949	valid
Anochetus australis	Emery	1906	invalid
Anochetus avius	[no authors]	2012	valid
Anochetus beccarii	Emery	1884	invalid
Anochetus bequaerti	Forel	1913	valid
Anochetus bierigi	Santschi	1931	invalid
Anochetus bispinosus	Smith	1858	valid
Anochetus boltoni	Fisher & Smith	2008	valid
Anochetus brevidentatus	MacKay	1991	valid
Anochetus brevis	[no authors]	1978	valid
Anochetus bytinskii	[no authors]	2007	valid
Anochetus cameroni	Forel	1915	invalid
Anochetus cato	Forel	1901	valid
Anochetus chirichinii	Emery	1897	valid
Anochetus chocoensis	Fernández	2008	valid
Anochetus concinnus	Santschi	1920	invalid
Anochetus conisquamis	De Andrade	1994	valid
Anochetus consultans	Walker	1859	valid
