subfamily	tribe	genus	species	subspecies	status	senior synonym	fossil
Aenictinae	Aenictini	Aenictus	satoi		unavailable		
Aenictinae	Aenictini	Aenictus	schneirlai		valid		
Aenictinae	Aenictini	Aenictus	shillongensis		valid		
Aenictinae	Aenictini	Aenictus	shuckardi		valid		
Aenictinae	Aenictini	Aenictus	silvestrii		valid		
Aenictinae	Aenictini	Aenictus	similis		synonym		
Aenictinae	Aenictini	Aenictus	smythiesii		synonym		
Aenictinae	Aenictini	Aenictus	soudanicus		valid		
Aenictinae	Aenictini	Aenictus	soudanicus	brunneus	valid		
Aenictinae	Aenictini	Aenictus	spathifer		valid		
Aenictinae	Aenictini	Aenictus	steindachneri		valid		
Aenictinae	Aenictini	Aenictus	stenocephalus		valid		
Aenictinae	Aenictini	Aenictus	sumatrensis		valid		
Aenictinae	Aenictini	Aenictus	sumatrensis	maxillosus	valid		
Aenictinae	Aenictini	Aenictus	sundaica		synonym		
Aenictinae	Aenictini	Aenictus	thailandianus		valid		
Aenictinae	Aenictini	Aenictus	togoensis		valid		
Aenictinae	Aenictini	Aenictus	tricarinata		unavailable		
Aenictinae	Aenictini	Aenictus	trigonus		valid		
Aenictinae	Aenictini	Aenictus	turneri		valid		
Aenictinae	Aenictini	Aenictus	unicolor		unavailable		
Aenictinae	Aenictini	Aenictus	vagans		valid		
Aenictinae	Aenictini	Aenictus	vaucheri		valid		
Aenictinae	Aenictini	Aenictus	vieti		valid		
Aenictinae	Aenictini	Aenictus	villiersi		valid		
Aenictinae	Aenictini	Aenictus	weissi		valid		
Aenictinae	Aenictini	Aenictus	westwoodi		valid		
Aenictinae	Aenictini	Aenictus	wroughtonii		valid		
Aenictinae	Aenictini	Aenictus	wudangshanensis		valid		
Aenictinae	Aenictini	Aenictus	zhengi		valid		
Aenictinae	Aenictini	Eoaenictites	castanifurvus		valid		fossil
Aenictogitoninae	Aenictogitonini	Aenictogiton	attenuatus		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	bequaerti		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	elongatus		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	emeryi		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	fossiceps		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	schoutedeni		valid		
Aenictogitoninae	Aenictogitonini	Aenictogiton	sulcatus		valid		
Agroecomyrmecinae	Agroecomyrmecini	Agroecomyrmex	duisburgi		valid		fossil
Agroecomyrmecinae	Agroecomyrmecini	Eulithomyrmex	rugosus		valid		fossil
Agroecomyrmecinae	Agroecomyrmecini	Eulithomyrmex	striatus		valid		fossil
Agroecomyrmecinae	Agroecomyrmecini	Tatuidris	tatusia		valid		
Amblyoponinae	Amblyoponini	Adetomyrma	venatrix		valid		
Amblyoponinae	Amblyoponini	Amblyopone	aberrans		valid		
Amblyoponinae	Amblyoponini	Amblyopone	agostii		valid		
Amblyoponinae	Amblyoponini	Amblyopone	amblyops		valid		
Amblyoponinae	Amblyoponini	Amblyopone	annae		valid		
Amblyoponinae	Amblyoponini	Amblyopone	arizonense		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	armigera		valid		
Amblyoponinae	Amblyoponini	Amblyopone	australis		valid		
Amblyoponinae	Amblyoponini	Amblyopone	barretoi		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	bellii		valid		
Amblyoponinae	Amblyoponini	Amblyopone	besucheti		valid		
Amblyoponinae	Amblyoponini	Amblyopone	bierigi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	binodosus		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	bruni		valid		
Amblyoponinae	Amblyoponini	Amblyopone	caliginosa		valid		
Amblyoponinae	Amblyoponini	Amblyopone	castaneus		recombined		
Amblyoponinae	Amblyoponini	Amblyopone	celata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	cephalotes		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	chilensis		valid		
Amblyoponinae	Amblyoponini	Amblyopone	clarki		valid		
Amblyoponinae	Amblyoponini	Amblyopone	cleae		valid		
Amblyoponinae	Amblyoponini	Amblyopone	crenata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	degenerata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	denticulata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	egregia		valid		
Amblyoponinae	Amblyoponini	Amblyopone	electrina		valid		fossil
Amblyoponinae	Amblyoponini	Amblyopone	elongata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	emeryi		valid		
Amblyoponinae	Amblyoponini	Amblyopone	eminia		valid		
Amblyoponinae	Amblyoponini	Amblyopone	exigua		valid		
Amblyoponinae	Amblyoponini	Amblyopone	falcata		valid		
Amblyoponinae	Amblyoponini	Amblyopone	feae		valid		
Amblyoponinae	Amblyoponini	Amblyopone	ferruginea		valid		
Amblyoponinae	Amblyoponini	Amblyopone	fortis		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	foveolata		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	fulvida		valid		
Amblyoponinae	Amblyoponini	Amblyopone	gaetulica		valid		
Amblyoponinae	Amblyoponini	Amblyopone	gheorghieffi		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	gingivalis		valid		
Amblyoponinae	Amblyoponini	Amblyopone	glauerti		valid		
Amblyoponinae	Amblyoponini	Amblyopone	gnoma		valid		
Amblyoponinae	Amblyoponini	Amblyopone	gracilicornis		synonym		
Amblyoponinae	Amblyoponini	Amblyopone	gracilis		valid		
Amblyoponinae	Amblyoponini	Amblyopone	groehni		valid		fossil
