5523,"Abdul-Rassoul, M. S.; Dawah, H. A.; Othman, N. Y.",1978.,197804,"Records of insect collection (Part I) in the Natural History Research Centre, Baghdad.",Bull. Nat. Hist. Res. Cent. Univ. Baghdad 7(2):1-6.,"{Formicidae pp. 4-6.} Paper deals with Cicadelloidea, Dermaptera, and Formicidae.",PSW
6431,"Agosti, D.",1983.,198312,"Zur Insektenfauna der Umgebung der Vogelwarte Sempach, Kanton Luzern. XIII. Hymenoptera 2: Formicidae (Ameisen).",Entomol. Ber. Luzern 10:91-92.,,PSW
260,"Agosti, D.",1990a.,199006,What makes the Formicini the Formicini?,Actes Colloq. Insectes Soc. 6:295-303.,"ANTBIB Misc. Notes, p. 170. Date from Bolton: just 1990.",Seen(PSW)
5586,"Agosti, D.",1990b.,19901019,"Review and reclassification of Cataglyphis (Hymenoptera, Formicidae).",J. Nat. Hist. 24:1457-1505.,,PSW
6263,"Agosti, D.",1991.,199107,"Revision of the oriental ant genus Cladomyrma, with an outline of the higher classification of the Formicinae (Hymenoptera: Formicidae).",Syst. Entomol. 16:293-310.,,PSW
6423,"Agosti, D.",1992.,199206,"Revision of the ant genus Myrmoteras of the Malay Archipelago (Hymenoptera, Formicidae).",Rev. Suisse Zool. 99:405-429.,"Bolton (1995b) cites title incorrectly as ""...in the Malay Archipelago"".",PSW
5494,"Agosti, D.",1994a.,19940729,A new inquiline ant (Hymenoptera: Formicidae) in Cataglyphis and its phylogenetic relationship.,J. Nat. Hist. 28:913-919.,,PSW
6568,"Agosti, D.",1994b.,19940801,The phylogeny of the ant tribe Formicini (Hymenoptera: Formicidae) with the description of a new genus.,Syst. Entomol. 19:93-117.,,PSW
7897,"Agosti, D.","1995 (""1994"").",19950719,A revision of the South American species of the ant genus Probolomyrmex (Hymenoptera: Formicidae).,J. N. Y. Entomol. Soc. 102:429-434.,,PSW
5052,"Agosti, D.; Bolton, B.",1990a.,19900412,"The identity of Andragnathus, a forgotten formicine ant genus (Hym., Formicidae).",Entomol. Mon. Mag. 126:75-77.,,PSW
5590,"Agosti, D.; Bolton, B.",1990b.,19900930,New characters to differentiate the ant genera Lasius F. and Formica L. (Hymenoptera: Formicidae).,Entomol. Gaz. 41:149-156.,Date from Bolton.,PSW
4188,"Agosti, D.; Collingwood, C. A.",1987a.,19870831,A provisional list of the Balkan ants (Hym. Formicidae) and a key to the worker caste. I. Synonymic list.,Mitt. Schweiz. Entomol. Ges. 60:51-62.,Date from Bolton.,PSW,,,
4187,"Agosti, D.; Collingwood, C. A.",1987b.,19871215,"A provisional list of the Balkan ants (Hym. Formicidae) with a key to the worker caste. II. Key to the worker caste, including the European species without the Iberian.",Mitt. Schweiz. Entomol. Ges. 60:261-293.,Date from Bolton.,PSW,,,
5127,"Agosti, D.; Hauschteck-Jungen, E.","1988 (""1987"").",198806,Polymorphism of males in Formica exsecta Nyl. (Hymenoptera: Formicidae).,Insectes Soc. 34:280-290.,,PSW,,,
